specialty,model,trial,n_estimators,max_depth,learning_rate,subsample,cv_RMSE,cv_MAPE,cv_MAE,cv_R2,time_s,hidden_layers,units,dropout,batch_size,lookback
Gynaecology,XGBoost,2,100.0,3.0,0.1,1.0,1.1924707004132462,47.72370424204403,1.0018388867378234,-0.4927361609425887,0.7,,,,,
Gynaecology,XGBoost,1,200.0,8.0,0.01,1.0,1.2360821389454304,48.10335489445262,1.0146406957081386,-0.5912292156605912,9.5,,,,,
Gynaecology,XGBoost,3,300.0,8.0,0.1,1.0,1.262784001382949,50.81307425432735,1.0304494040352958,-0.885582899372195,7.8,,,,,
Gynaecology,XGBoost,7,300.0,5.0,0.05,0.7,1.2767705189429752,54.00674401389229,1.0338074875729424,-0.7497546021863991,3.8,,,,,
Gynaecology,XGBoost,9,500.0,8.0,0.05,0.85,1.3219194825165559,57.152472340398354,1.0926676937511988,-0.8489227147172389,13.7,,,,,
Gynaecology,XGBoost,4,300.0,3.0,0.3,0.85,1.4529297420957028,69.42748280366263,1.2130893724305287,-1.2977398492314176,2.0,,,,,
Gynaecology,ANN,7,,,0.007260179744876617,,1.0645661016552022,41.74924931261275,0.9222762414387295,-0.17855257208404923,2.1,2.0,128.0,0.1,64.0,
Gynaecology,ANN,9,,,0.0038693425662390908,,1.0847411964527545,38.070557713508606,0.8997003419058665,-0.22437618804886603,5.1,1.0,64.0,0.3,16.0,
Gynaecology,ANN,5,,,0.0006053383222993595,,1.1149425334176188,37.06184836228688,0.9143127509525844,-0.2988549950387587,3.0,1.0,64.0,0.1,32.0,
Gynaecology,ANN,4,,,0.0018874053315616273,,1.1216659727121336,40.34450753529866,0.9370672123772759,-0.3174540973175778,2.7,2.0,192.0,0.2,64.0,
Gynaecology,ANN,2,,,0.0007339216231845529,,1.1306406212408777,40.8202701277203,0.9482849666050501,-0.32375832070740396,3.5,2.0,256.0,0.3,64.0,
Gynaecology,ANN,6,,,0.004844677737096722,,1.1424699158018847,43.83310580915875,0.9652242694582258,-0.39718807193779826,4.0,2.0,256.0,0.2,32.0,
Gynaecology,ANN,8,,,0.0020238952437608886,,1.14761775293054,39.24563629097408,0.9404562575476509,-0.38270584944953245,8.7,2.0,256.0,0.4,16.0,
Gynaecology,ANN,3,,,0.008030064871219652,,1.1487443777917243,43.79688388109207,0.9674971852983747,-0.3587524935985166,5.4,2.0,128.0,0.3,32.0,
Gynaecology,ANN,0,,,0.006546838871578803,,1.1586944947457416,43.326307932535805,0.9605809535299029,-0.37956308321901816,4.3,1.0,256.0,0.3,32.0,
Gynaecology,ANN,1,,,0.009295739575551345,,1.1594067746335779,44.182229141394295,0.9712873390742711,-0.4383452593031561,6.1,1.0,192.0,0.1,16.0,
Gynaecology,LSTM,2,,,0.0007339216231845529,,1.1068225698526937,40.73004860252445,0.935783263689569,-0.27639477085327735,12.9,,128.0,0.3,64.0,21.0
Gynaecology,LSTM,1,,,0.009295739575551345,,1.1108381907425506,46.496941332047925,0.9619715027841661,-0.2765076700556184,9.9,,128.0,0.1,32.0,14.0
Gynaecology,LSTM,9,,,0.0038693425662390908,,1.1273415223451178,40.82271968912721,0.9473712994474219,-0.3053612491515498,7.9,,64.0,0.2,32.0,14.0
Gynaecology,LSTM,6,,,0.004844677737096722,,1.1275955787951046,45.17001371502355,0.9697373636206009,-0.30515987176252624,10.1,,128.0,0.1,64.0,21.0
Gynaecology,LSTM,4,,,0.0018874053315616273,,1.1394473585553293,41.92155704793718,0.960002445138436,-0.3429516419542562,12.6,,128.0,0.2,64.0,21.0
Gynaecology,LSTM,5,,,0.0006053383222993595,,1.1482020888789752,42.99164136726092,0.9721931082009524,-0.37392138293738036,3.5,,64.0,0.1,64.0,14.0
Gynaecology,LSTM,3,,,0.008030064871219652,,1.164114727230513,44.62762204002204,0.9741549176497925,-0.46157153160321174,7.2,,64.0,0.2,32.0,21.0
Gynaecology,LSTM,7,,,0.007260179744876617,,1.1848972996502924,47.53755345787451,1.0203039880478022,-0.42978822757532703,5.5,,64.0,0.1,64.0,21.0
Gynaecology,LSTM,8,,,0.0020238952437608886,,1.1879295370052907,45.94806275030146,1.012869008536598,-0.4636623893273325,16.7,,128.0,0.3,32.0,21.0
Gynaecology,LSTM,0,,,0.006546838871578803,,1.3026381745164093,45.76442203501332,1.0736549525861583,-0.942324293007345,18.5,,128.0,0.2,32.0,14.0
