trial,method,n_estimators,max_depth,learning_rate,subsample,cv_RMSE,cv_MAPE,cv_MAE,cv_R2,time_s,model,hidden_layers,units,dropout,batch_size,lookback
0,Random,,,0.006546838871578803,,7.913387180139064,10.624868726402024,6.451919500753017,-0.6198558368578856,13.7,LSTM,,128.0,0.2,32.0,14.0
1,Random,,,0.009295739575551345,,8.502586357417972,11.742346042629688,7.01329755910559,-1.0110064977549327,15.3,LSTM,,128.0,0.1,32.0,14.0
2,Random,,,0.0007339216231845529,,8.763090661396024,11.898816996497064,7.283433853873693,-1.0683297301288253,16.3,LSTM,,128.0,0.3,64.0,21.0
3,Random,,,0.008030064871219652,,8.086994001125252,11.37551311195011,6.893166783644498,-0.7750418473461623,12.7,LSTM,,64.0,0.2,32.0,21.0
4,Random,,,0.0018874053315616273,,8.08555291417911,10.568269696864112,6.458451423673081,-0.6834504845572895,17.7,LSTM,,128.0,0.2,64.0,21.0
5,Random,,,0.0006053383222993595,,7.836287431131618,11.114139341665538,6.647046690270047,-0.5579696322472796,5.1,LSTM,,64.0,0.1,64.0,14.0
6,Random,,,0.004844677737096722,,7.975333168844673,10.520786922994137,6.4683988551520155,-0.7832850327646523,14.1,LSTM,,128.0,0.1,64.0,21.0
7,Random,,,0.007260179744876617,,8.1254263863087,11.159844171691876,6.6971285436845704,-0.8578930689808762,7.3,LSTM,,64.0,0.1,64.0,21.0
8,Random,,,0.0020238952437608886,,8.287384615356446,11.371176430366585,6.9838597842098595,-0.7374901370219724,16.5,LSTM,,128.0,0.3,32.0,21.0
9,Random,,,0.0038693425662390908,,7.951102984252368,11.19883268988431,6.724667639507364,-0.7736994669557068,12.3,LSTM,,64.0,0.2,32.0,14.0
0,Optuna,,,0.0066971673533752435,,8.204495055178391,11.30705982099128,6.792852059458378,-0.8969196016029377,6.8,LSTM,,64.0,0.1,64.0,21.0
1,Optuna,,,0.0024082072654535423,,8.306808708571566,11.81836853750251,7.077414980996274,-0.8863607353020011,23.2,LSTM,,64.0,0.3,32.0,21.0
2,Optuna,,,0.002333481883618462,,7.5321052618579305,9.588480838746635,5.920531056031278,-0.36921805357475806,20.1,LSTM,,128.0,0.2,32.0,14.0
3,Optuna,,,0.0006699530280754896,,8.353549501248676,11.363565842872273,6.915695393416312,-0.8493514418778428,25.9,LSTM,,128.0,0.1,32.0,14.0
4,Optuna,,,0.002374619881840205,,8.2773032903843,11.251457550087954,6.906924476762138,-0.7264528326814197,20.6,LSTM,,128.0,0.2,32.0,21.0
5,Optuna,,,0.0008993931736681455,,8.216669110684453,11.702994334144487,7.04097509778736,-0.9084178097231765,9.5,LSTM,,64.0,0.2,64.0,14.0
6,Optuna,,,0.005529073188281503,,7.6732200340777625,11.017890447079314,6.608384406602942,-0.6322259699151246,8.6,LSTM,,64.0,0.2,64.0,14.0
7,Optuna,,,0.0006241720498669826,,8.381154808306663,11.443710632398805,7.0129041772012854,-0.8509981940259144,21.6,LSTM,,128.0,0.3,32.0,14.0
8,Optuna,,,0.0033763806178210083,,7.851108779677124,11.037195665749106,6.638843914902955,-0.7014253093888213,13.0,LSTM,,64.0,0.3,32.0,14.0
9,Optuna,,,0.0017997562632086157,,8.523139557477,12.350669980527709,7.410828664680952,-1.0430332616490783,13.4,LSTM,,64.0,0.1,64.0,21.0
