n_estimators,max_depth,learning_rate,subsample,cv_MAPE,cv_MAE,cv_RMSE,cv_R2,cv_std_MAPE
100,6,0.05,0.85,12.458095511760822,6.989804949079241,8.988214909914635,-0.8372774315523983,4.363289710229767
300,8,0.01,0.85,12.483084694473218,7.0351925441197,8.934106264029696,-0.8146783824781008,4.414002370187379
200,3,0.1,0.7,12.530358638413285,7.041060474940709,9.049063075738237,-0.8827594333011479,3.97015226289274
300,8,0.01,0.7,12.53067537211084,7.025558144705636,8.870260104705087,-0.7907782251964818,4.569922846072301
300,3,0.05,0.85,12.560579975858918,7.0546886989048545,8.831218875545401,-0.8777060873836412,3.489550363659613
200,5,0.05,0.7,12.593232436885394,7.147054290771484,9.030496714065066,-0.9608376140036656,3.9070162216098216
500,3,0.05,1.0,12.593272749949836,7.083780125209264,8.934281196793544,-0.8332282428182778,3.9930970947868327
100,5,0.1,0.7,12.608498822017966,7.11195433480399,9.155109447585996,-1.030868454475379,3.329217872407757
100,6,0.01,1.0,12.641076431924224,7.083204051426479,8.816537969926213,-0.7514390334907246,5.065849449096192
300,3,0.05,0.7,12.649166010923617,7.0912361689976295,8.90447761652484,-0.8829516563617597,3.900046670597379
200,6,0.01,1.0,12.65881289263789,7.160238974434989,8.984006046415786,-0.8474924743358005,4.437350060400247
300,3,0.1,0.7,12.698528110520817,7.170535823277065,9.264432448225564,-1.0438682906298793,3.7672863555887433
500,8,0.01,0.85,12.702856503160564,7.16478200639997,9.095331933695544,-0.8971092677441378,4.42808596887218
300,5,0.01,1.0,12.716714144163053,7.183189283098493,8.933739758709766,-0.8705146264953149,3.762648740576728
200,3,0.1,1.0,12.730632954992531,7.1594996316092345,9.007595898975964,-0.8246517758081755,4.203558133243547
500,8,0.01,0.7,12.753831261670578,7.1672780718122215,9.064188765287943,-0.9022965400280532,4.419075250905651
500,6,0.01,0.7,12.771973093918287,7.173033033098493,9.032400917746084,-0.8673929501582099,4.423082378145188
500,3,0.1,0.7,12.77854673671302,7.2575477055140905,9.321927157194647,-1.133184193290242,3.807508684792225
500,5,0.01,1.0,12.782224951240662,7.22732298714774,9.136938749594178,-1.004805883053538,3.7704853415564608
300,5,0.05,0.7,12.80890919841624,7.287423869541714,9.187153729212861,-1.0685766980753375,3.763489976920899
300,6,0.1,0.7,12.82213995733336,7.27380234854562,9.329721450683909,-1.1304303097253654,3.6217727497836965
500,6,0.1,0.7,12.828855746030692,7.277673721313475,9.332291514846146,-1.1326831525965,3.619244663188957
100,6,0.1,0.7,12.835048517685228,7.274506378173828,9.295086863079781,-1.0467726605526213,3.7645879636298885
100,5,0.05,1.0,12.835673910071268,7.220996093749998,9.148808264749185,-1.00229062582174,3.913557458640886
200,6,0.1,0.7,12.852927857138212,7.286167199271065,9.339662054121867,-1.1305425143241123,3.642881379769107
100,5,0.05,0.85,12.861196543470928,7.2081529344831194,9.103399318424913,-0.865083730639955,4.384608617041975
200,6,0.05,0.85,12.878190127649447,7.241473388671875,9.29026868930771,-1.0071167952809437,4.156246120783432
100,6,0.05,0.7,12.921008105520176,7.311725125994,9.12300905314917,-0.8903075840378714,4.390864771564299
300,6,0.01,1.0,12.923498183381284,7.321799904959542,9.177525411651578,-0.9704333796604198,4.217434696458204
500,3,0.05,0.85,12.939068938075716,7.264168439592633,9.063497831776974,-0.9489914650444129,3.5303297768430615
500,6,0.01,1.0,12.942211451500764,7.336364800589426,9.290501644307934,-1.0886803268970138,4.1061299099127115
500,6,0.05,0.85,12.946232715760468,7.316114098685128,9.362678781454854,-1.049910955917394,3.9976824948010052
200,5,0.05,1.0,12.954034696489074,7.296019090924945,9.435542974377142,-1.164960014323324,3.769901262087676
500,5,0.05,0.7,12.979941915544126,7.397035544259206,9.306502206854224,-1.1744127819377301,3.815133562605595
300,6,0.05,0.85,12.995736755743852,7.331786782400949,9.384055954226113,-1.0505166426445391,4.04352418469619
300,3,0.1,1.0,13.016443555281247,7.325649261474609,9.154355996586638,-0.866487221209287,4.147704033384777
300,5,0.05,1.0,13.032416092347983,7.3462965829031805,9.521684691002145,-1.2781726234352777,3.593008325497946
100,8,0.01,1.0,13.045882900272051,7.279839324951172,9.097336883623969,-0.9163318099252317,5.449914556267404
100,8,0.05,0.7,13.053142374034115,7.348360061645508,9.249874736785086,-0.9693736706879751,4.562784064157553
300,8,0.01,1.0,13.058508598563364,7.3845561981201175,9.41516365921034,-1.20142904971793,4.624427013118753
500,5,0.1,0.7,13.072549046218537,7.43283473423549,9.440629696624717,-1.2636006855091757,3.346842361960963
500,3,0.1,1.0,13.079117227466316,7.365995134626116,9.263893209756636,-0.9242177682161214,4.126795981112155
200,5,0.1,0.7,13.087360540935787,7.43214748927525,9.406102906724334,-1.2307951193658742,3.338350057003652
300,5,0.1,0.7,13.09067348730332,7.443338993617466,9.452947774717718,-1.2652302518958374,3.327590037986458
100,8,0.05,0.85,13.125915416857415,7.396277400425502,9.42608208606032,-1.0278730664479312,4.374765456762157
100,6,0.1,0.85,13.12649162548885,7.3663539341517845,9.536995470928773,-1.0689397052051361,5.063448492040207
100,6,0.1,1.0,13.14099845969586,7.502326202392578,9.595571998275997,-1.5932287818417847,2.9302604488163744
200,6,0.05,0.7,13.15411238935942,7.459026064191546,9.313690603293908,-1.0201184207916936,4.164567785009351
200,6,0.1,0.85,13.189113636869513,7.415181405203683,9.588486734229466,-1.0730120755787416,4.966207125376619
200,8,0.05,0.7,13.191966489551168,7.46239733014788,9.394889598059725,-1.130676141033418,4.15657876497778
100,5,0.1,1.0,13.196428368206625,7.444516699654716,9.469428724751365,-1.2855171158162149,3.561293321179825
200,5,0.3,1.0,13.202768752653132,7.590329251970563,9.694323653669402,-1.6135724737450565,2.7664554120976472
500,5,0.3,1.0,13.21256820010404,7.596068518502372,9.700768420418157,-1.6180148699762946,2.761783021560243
300,5,0.3,1.0,13.213179082273124,7.596409007481166,9.701061631041263,-1.6180374766954966,2.762492321447118
100,5,0.3,1.0,13.218376103745422,7.589939553397042,9.66937412660314,-1.5882114140026338,2.7490597712987195
500,6,0.1,0.85,13.223248640839756,7.439588492257256,9.599892384860532,-1.0893613600701002,4.883130174291805
300,6,0.1,0.85,13.228197454766512,7.441235024588448,9.601435646827653,-1.0881433127842661,4.883238698008224
500,3,0.05,0.7,13.234071681175298,7.413685607910155,9.354437725749511,-1.1748812914430882,3.9691297077560943
100,3,0.3,0.85,13.251529874447176,7.605737795148578,9.370085220869422,-1.277216059988311,2.7779239706707517
300,8,0.05,0.7,13.252686869031319,7.500805391584125,9.439411401593905,-1.168537465556235,4.103732837135329
200,8,0.01,1.0,13.256743369791815,7.4671556200299944,9.399775326492852,-1.129810234460027,5.0032607866317
200,6,0.05,1.0,13.273918431462993,7.540317589896065,9.593539222753053,-1.3982483957905711,3.400857224001655
500,8,0.05,0.7,13.277366850986443,7.515991374424525,9.449671773766491,-1.1768248120753664,4.093320844351319
200,6,0.1,1.0,13.278637258020712,7.616594423566546,9.717795455523037,-1.6993948924329612,2.5612751122731297
500,5,0.05,1.0,13.290504862035954,7.52471526009696,9.669981583027733,-1.4317207915191301,3.491558182835514
200,8,0.1,0.85,13.292086948856786,7.528440366472516,9.620006793125597,-1.1410297360428778,4.559145093123734
500,8,0.1,0.85,13.294358814709224,7.530030332292829,9.620939722875594,-1.1413577368678982,4.5570609948305565
300,8,0.1,0.85,13.294398238670922,7.530041449410575,9.62097350751083,-1.1413880242033478,4.556925903800342
100,8,0.1,0.85,13.299773182846588,7.5285490853445864,9.64058501007537,-1.156033645970862,4.6001326312669
100,6,0.05,1.0,13.303671775174626,7.561260877336774,9.455258508704551,-1.1764794654440551,4.1436257385981525
200,3,0.3,0.85,13.312156711013154,7.678557368687221,9.398747295640947,-1.3727784817528652,2.349955862106192
300,6,0.1,1.0,13.317539962820598,7.637779235839844,9.752003081001172,-1.710323817359726,2.519017745435214
200,5,0.05,0.85,13.332526718645497,7.4975309099469865,9.427930858867091,-1.045351968308179,4.375348017752447
300,6,0.05,0.7,13.333951818790855,7.583408192225865,9.423206282703488,-1.0717583375111066,4.1176299198265065
500,6,0.1,1.0,13.3379142665551,7.651930890764509,9.765256390504124,-1.7233321847653404,2.4951872129472914
200,8,0.05,0.85,13.358406304345445,7.541551971435547,9.64476808665757,-1.160902299703825,4.383702140127087
300,6,0.05,1.0,13.359788077131356,7.611835207257951,9.750924863661558,-1.5610404864983711,3.189065764384586
200,3,0.1,0.85,13.364331660684647,7.531138120378768,9.414982401802376,-1.082786456511701,4.086393529704881
200,3,0.3,1.0,13.367803431465964,7.575940922328404,9.516721932413342,-1.3470286120011938,3.6449235558053874
500,6,0.05,0.7,13.391879619669695,7.6267941066197,9.462566208869658,-1.0978662221849256,4.060084476064947
100,8,0.1,0.7,13.39844946611135,7.594517626081195,9.524953503359548,-1.1106557938169266,4.778445087602972
100,5,0.3,0.85,13.399857160864324,7.6710224696568075,9.674560733081872,-1.7807268884614231,2.726246339184815
200,5,0.3,0.85,13.407223776321647,7.67941017150879,9.678699006995533,-1.8082134611549805,2.763199043189709
500,5,0.3,0.85,13.409091749489434,7.680775996616907,9.680682123920324,-1.809898629042823,2.7648681629262173
300,5,0.3,0.85,13.409124141732713,7.680797958374025,9.68065820902166,-1.8098004078739092,2.7645605691302224
500,8,0.01,1.0,13.409928652312516,7.6110447474888385,9.660311160019164,-1.4953442195927837,4.2926754529655105
300,8,0.05,0.85,13.417134729895713,7.583544049944196,9.68259713994492,-1.185312435737036,4.316393376472713
500,8,0.05,0.85,13.431060771617272,7.593173326764789,9.692079242385296,-1.1904203239182785,4.310426297829885
500,6,0.05,1.0,13.457454513475422,7.678063256399971,9.824589494202588,-1.6235325936735656,3.2577909107620906
200,8,0.1,0.7,13.481512879349447,7.644341605050224,9.568471235623853,-1.14938581062098,4.727825856546525
300,8,0.1,0.7,13.482495676010004,7.645298004150389,9.570551749150795,-1.1505341136205374,4.727026178401133
