specialty,model,block,MAPE,MAE,RMSE,R2,order,params,cv_RMSE,cv_MAPE
Paediatrics,ANN,test,58.82848879473889,1.7295278843605157,2.1802184798950166,-0.1264830876351568,,"{'hidden_layers': 2, 'units': 256, 'dropout': 0.2, 'learning_rate': 0.004844677737096722, 'batch_size': 32}",1.9444099952485754,43.4318354845047
Paediatrics,LSTM,val,58.1158084628907,1.4595228789975812,1.8659090714678177,-0.08952576757173092,,"{'lookback': 14, 'units': 128, 'dropout': 0.2, 'learning_rate': 0.006546838871578803, 'batch_size': 32}",1.8757025601155395,47.24038395991243
Paediatrics,LSTM,test,61.217052338686116,1.7206414974713993,2.1364798825725067,-0.08173842924270813,,"{'lookback': 14, 'units': 128, 'dropout': 0.2, 'learning_rate': 0.006546838871578803, 'batch_size': 32}",1.8757025601155395,47.24038395991243
Gynaecology,ARIMA,val,47.32786042134544,1.1261356994380798,1.480160040670735,-0.017772218945396823,"(0, 1, 3)",,,
Gynaecology,ARIMA,test,46.105216326789495,1.0780919203262744,1.3669983582510286,-0.025058523098368868,"(0, 1, 3)",,,
Gynaecology,SARIMAX,val,65.26725217137943,1.3245991980552778,1.6843013151368154,-0.31787074292086737,"(2, 1, 0)x(2, 1, 0, 7)",,,
Gynaecology,SARIMAX,test,71.56630069003222,1.4451828844611396,1.8598103302968898,-0.8973610739380227,"(2, 1, 0)x(2, 1, 0, 7)",,,
Gynaecology,NB-GLM,val,44.941409424474685,1.1348475011564292,1.5011877012613744,-0.04689526750023565,,,,
Gynaecology,NB-GLM,test,45.0966176645807,1.0599938697888522,1.3462265472613726,0.005856731835113815,,,,
Gynaecology,XGBoost,val,46.95197607736168,1.127800507713919,1.4864941908208191,-0.0265017020084235,,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0}",1.1531789424514296,47.43458284272088
Gynaecology,XGBoost,test,49.477824574075925,1.0979678778335302,1.3835287854681706,-0.04999945565471586,,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0}",1.1531789424514296,47.43458284272088
Gynaecology,ANN,val,46.32755101923102,1.1240320659202079,1.4908577044486884,-0.03253701427034983,,"{'hidden_layers': 2, 'units': 128, 'dropout': 0.1, 'learning_rate': 0.007260179744876617, 'batch_size': 64}",1.0645661016552022,41.74924931261275
Gynaecology,ANN,test,54.13611538653369,1.1410149594750068,1.4052017202315157,-0.08315353299373585,,"{'hidden_layers': 2, 'units': 128, 'dropout': 0.1, 'learning_rate': 0.007260179744876617, 'batch_size': 64}",1.0645661016552022,41.74924931261275
Gynaecology,LSTM,val,47.046726821577586,1.1497972035400528,1.5156965446381685,-0.06722935466092017,,"{'lookback': 21, 'units': 128, 'dropout': 0.3, 'learning_rate': 0.0007339216231845529, 'batch_size': 64}",1.1068225698526937,40.73004860252445
Gynaecology,LSTM,test,49.642755976129074,1.0826103772075226,1.3700647497826441,-0.029662414734723752,,"{'lookback': 21, 'units': 128, 'dropout': 0.3, 'learning_rate': 0.0007339216231845529, 'batch_size': 64}",1.1068225698526937,40.73004860252445
